,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
61,Dingle,36,PH,1554772900,89,11.0,122.67,79.9,8.03
62,Nikolskoye,90,RU,1554772536,100,59.7,30.79,35.01,2.24
63,Gat,0,SN,1554769800,41,14.69,-16.54,84.2,16.11
64,Gorom-Gorom,20,BF,1554772904,18,14.45,-0.24,76.39,10.42
65,Rzhev,32,RU,1554772905,95,56.26,34.33,42.37,8.25
66,Mount Gambier,40,AU,1554768000,66,-37.83,140.78,55.4,12.75
67,East London,0,ZA,1554772604,100,-33.02,27.91,71.44,1.25
68,Silvan,40,TR,1554771000,100,38.14,41.01,52.0,3.36
69,Puerto Ayora,20,EC,1554772569,78,-0.74,-90.35,82.4,10.29
70,Kodiak,1,US,1554772788,10,39.95,-94.76,75.0,8.05
71,New Norfolk,20,AU,1554772574,81,-42.78,147.06,55.99,17.22
72,Grand Gaube,75,MU,1554772738,78,-20.01,57.66,80.6,10.29
73,Ust-Kulom,8,RU,1554772915,88,61.69,53.69,26.71,5.57
74,Cherskiy,12,RU,1554772301,79,68.75,161.3,22.3,2.37
75,Kidal,0,ML,1554772918,23,18.44,1.41,66.49,9.15
76,Te Anau,32,NZ,1554772919,71,-45.41,167.72,58.21,4.0
77,Zhanakorgan,92,KZ,1554772921,76,43.91,67.25,51.64,3.0
78,Makakilo City,1,US,1554772748,58,21.35,-158.09,84.2,12.75
79,Hambantota,20,LK,1554768600,100,6.12,81.12,77.0,2.24
80,Lavrentiya,24,RU,1554772747,100,65.58,-170.99,16.09,29.44
81,Dawlatabad,100,AF,1554772926,92,36.41,64.91,61.0,6.91
82,Bida,56,NG,1554772927,79,9.08,6.02,80.98,7.29
83,Qaanaaq,80,GL,1554772572,94,77.48,-69.36,17.62,5.39
84,Mantenopolis,32,BR,1554772929,97,-18.86,-41.12,68.83,2.04
85,Tiksi,80,RU,1554772584,81,71.64,128.87,27.43,5.5
86,Arraial do Cabo,88,BR,1554772581,100,-22.97,-42.02,76.39,7.85
87,Palmer,40,AU,1554772804,42,-34.85,139.16,64.99,13.87
88,Ust-Omchug,64,RU,1554772935,81,61.13,149.63,28.15,3.49
89,Rio Grande,0,BR,1554772437,97,-32.03,-52.1,65.32,7.92
90,Ust-Ilimsk,76,RU,1554772565,67,57.96,102.73,30.22,5.79
91,Tutoia,56,BR,1554772938,88,-2.76,-42.27,79.36,8.81
92,Kahului,40,US,1554772481,48,20.89,-156.47,87.8,24.16
93,Flic en Flac,75,MU,1554772738,78,-20.27,57.36,80.6,10.29
94,Gorbehaza,32,HU,1554770700,76,47.83,21.23,55.4,6.93
95,Jalu,0,LY,1554772585,58,29.03,21.55,57.04,10.83
96,Panjab,68,AF,1554772944,95,34.38,67.02,32.65,2.1
97,Victoria,75,BN,1554769800,83,5.28,115.24,86.0,4.7
98,Sisimiut,24,GL,1554772947,85,66.94,-53.67,23.11,3.11
99,Kapuskasing,90,CA,1554768000,89,49.42,-82.43,32.0,6.93
100,Chitrakonda,0,IN,1554772950,88,18.12,82.08,60.19,2.1
101,Charters Towers,0,AU,1554772951,81,-20.07,146.27,75.04,9.08
102,Saint-Philippe,90,CA,1554772556,92,45.36,-73.48,35.01,12.75
103,Valdivia,90,CL,1554768000,82,-39.81,-73.25,57.2,4.7
104,Junction City,1,US,1554772864,27,39.03,-96.83,77.0,4.7
105,Porgera,92,PG,1554772956,91,-5.46,143.15,58.66,2.77
106,Selenginsk,12,RU,1554769800,40,52.01,106.87,37.4,6.71
107,Port Elizabeth,75,US,1554772566,60,39.31,-74.98,73.99,6.93
108,Barabai,56,ID,1554772960,96,-2.59,115.38,76.66,2.89
109,Labuhan,20,ID,1554772961,94,-2.54,115.51,77.11,0.98
110,Zhob,44,PK,1554772962,59,31.34,69.45,58.66,4.27
111,Marsabit,20,KE,1554772964,82,2.34,37.99,69.91,2.59
112,Medea,20,DZ,1554769800,93,36.27,2.77,50.0,3.36
113,Logan,20,US,1554772924,39,41.73,-111.83,64.99,8.05
114,Minuri,44,PH,1554772968,79,16.54,121.86,77.29,3.71
115,Saint Anthony,90,US,1554772836,44,43.97,-111.68,60.8,13.87
116,Pendleton,90,US,1554772899,100,34.65,-82.78,68.0,2.77
117,Mossendjo,80,CG,1554772972,90,-2.95,12.72,74.41,2.04
118,Narsaq,40,GL,1554767400,36,60.91,-46.05,44.6,43.62
119,Longyearbyen,75,NO,1554769200,85,78.22,15.63,14.0,6.93
120,Cayenne,75,GF,1554769800,78,4.94,-52.33,80.6,10.29
121,Ponta do Sol,64,BR,1554772977,94,-20.63,-46.0,67.12,3.04
122,Sinnamary,88,GF,1554772978,95,5.38,-52.96,79.9,14.29
123,Columbus,20,US,1554772714,83,32.46,-84.99,69.8,5.82
124,Lagoa,20,PT,1554772944,81,37.14,-8.45,55.0,2.24
125,Coihaique,90,CL,1554771600,82,-45.58,-72.07,57.2,6.93
126,Saskylakh,20,RU,1554772571,78,71.97,114.09,4.12,9.64
127,Touros,75,BR,1554768000,88,-5.2,-35.46,80.6,6.93
128,Zhuhai,40,CN,1554768000,100,40.71,112.04,39.2,2.24
129,Carnarvon,0,ZA,1554772334,56,-30.97,22.13,57.04,8.63
130,Taltal,0,CL,1554772988,94,-25.41,-70.49,59.56,2.26
131,Ancud,90,CL,1554768000,100,-41.87,-73.83,51.8,14.99
132,Ilulissat,0,GL,1554771000,48,69.22,-51.1,39.2,18.34
133,Takoradi,56,GH,1554772992,100,4.89,-1.75,80.26,8.86
134,Vestmannaeyjar,24,IS,1554772993,88,63.44,-20.27,41.11,18.43
135,Ranfurly,0,CA,1554772994,50,53.41,-111.68,50.65,10.94
136,Hilo,75,US,1554772737,61,19.71,-155.08,80.6,13.87
137,Springdale,1,US,1554772920,37,36.19,-94.13,71.6,6.93
138,Poso,0,ID,1554772984,100,-1.4,120.75,81.79,4.27
139,Bubaque,0,GW,1554772430,100,11.28,-15.83,79.72,12.33
140,Harper,1,US,1554772862,33,30.3,-99.24,80.6,9.08
141,Taybad,0,IR,1554773003,86,34.74,60.78,53.44,5.79
142,Umm Lajj,92,SA,1554772844,70,25.02,37.27,75.4,12.62
143,Hasaki,20,JP,1554772061,32,35.73,140.83,55.4,12.75
144,Muzhi,0,RU,1554773006,81,65.4,64.7,20.41,15.9
145,Klaksvik,88,FO,1554771000,65,62.23,-6.59,41.0,12.75
146,Umba,44,RU,1554773009,79,66.69,34.34,23.74,10.83
147,Naze,56,NG,1554772583,87,5.43,7.07,78.91,5.61
148,Vikulovo,20,RU,1554773011,75,55.07,40.96,37.06,10.83
149,Thompson,75,CA,1554768000,53,55.74,-97.86,21.2,6.93
150,Ormara,12,PK,1554773015,92,25.21,64.64,76.39,8.75
151,Lasa,20,CY,1554772578,82,34.92,32.53,59.0,2.24
152,Sao Pedro do Sul,0,BR,1554768000,100,-29.62,-54.18,60.8,3.36
153,Grindavik,75,IS,1554772918,96,63.84,-22.43,41.0,12.75
154,Chapais,90,CA,1554768000,38,49.78,-74.86,26.6,5.82
155,Port Lincoln,24,AU,1554773021,93,-34.72,135.86,60.46,12.28
156,Zaraza,12,VE,1554773023,52,9.35,-65.33,80.62,13.96
157,Suluq,92,LY,1554773024,70,31.67,20.25,57.13,13.62
158,Severo-Kurilsk,56,RU,1554772613,93,50.68,156.12,32.02,15.35
159,Otjiwarongo,0,NA,1554773026,44,-20.46,16.65,57.49,4.9
160,Piacabucu,44,BR,1554773027,78,-10.41,-36.43,80.08,7.58
161,Katobu,8,ID,1554773007,100,-4.94,122.53,82.6,2.26
162,Ambilobe,8,MG,1554773030,81,-13.19,49.05,74.41,3.83
163,Myaundzha,48,RU,1554773031,89,63.05,147.18,24.64,1.1
164,Chuy,0,UY,1554772611,91,-33.69,-53.46,59.92,5.84
165,Konstantinovka,92,MD,1554772545,91,47.99,28.86,44.01,5.73
166,Tasiilaq,92,GL,1554771000,55,65.61,-37.64,33.8,21.92
167,Romitan,75,UZ,1554769800,82,39.93,64.38,59.0,11.41
168,Katsuura,20,JP,1554771896,70,33.93,134.5,53.6,12.75
169,Anlu,88,CN,1554773039,93,31.26,113.68,61.09,16.13
170,Tabou,24,CI,1554772611,100,4.42,-7.36,81.07,7.85
171,Codrington,8,AU,1554772395,61,-28.95,153.24,84.0,10.29
172,Bluff,0,AU,1554772570,61,-23.58,149.07,77.92,4.56
173,Kuala Selangor,75,MY,1554773023,83,3.34,101.25,84.0,2.24
174,Shiraz,20,IR,1554771600,62,29.61,52.54,53.6,2.04
175,Kaitangata,24,NZ,1554772316,68,-46.28,169.85,64.0,4.0
176,Jacareacanga,76,BR,1554773047,100,-6.22,-57.76,75.85,2.1
177,Rapu-Rapu,92,PH,1554772988,100,13.19,124.13,78.73,10.42
178,Krabi,20,TH,1554769800,94,8.06,98.92,84.2,4.7
179,Mpanda,20,TZ,1554773051,95,-6.34,31.07,64.6,2.71
180,Hirara,75,JP,1554771600,83,24.8,125.28,82.4,16.11
181,Lubao,40,PH,1554772984,62,14.94,120.6,89.6,2.24
182,Yulara,68,AU,1554768000,24,-25.24,130.99,82.4,12.75
183,Pemba,75,MZ,1554771600,94,-12.97,40.52,77.0,6.93
184,Manono,56,CD,1554773057,95,-7.3,27.4,71.08,3.27
185,Kosh-Agach,0,RU,1554773059,64,49.99,88.66,-2.19,2.59
186,Anadyr,0,RU,1554772348,78,64.73,177.51,10.4,20.13
187,Saint George,75,GR,1554772416,93,39.45,22.34,55.0,4.7
188,Dalby,0,AU,1554772246,60,-27.18,151.26,84.0,6.93
189,Dikson,56,RU,1554772581,100,73.51,80.55,13.21,6.62
190,Buala,48,SB,1554773065,84,-8.15,159.59,86.29,3.78
191,Sao Gabriel da Cachoeira,92,BR,1554773066,96,-0.13,-67.09,73.06,2.37
192,Mareeba,75,AU,1554772400,74,-16.99,145.42,81.0,10.29
193,Bacolod,8,PH,1554773069,79,10.68,122.95,81.79,6.58
194,Leningradskiy,0,RU,1554773070,98,69.38,178.42,1.96,12.88
195,Sibolga,8,ID,1554773014,100,1.74,98.78,68.29,1.81
196,Port Augusta,75,AU,1554773050,59,-32.49,137.76,62.6,14.99
197,Jiwani,48,PK,1554773074,92,25.05,61.74,76.57,6.02
198,Sur,24,OM,1554772573,81,22.57,59.53,81.61,5.73
199,Bambous Virieux,40,MU,1554772438,83,-20.34,57.76,78.8,9.17
200,Qatana,0,SY,1554772516,81,33.43,36.09,52.0,4.7
201,Adrar,0,DZ,1554768000,18,27.87,-0.29,68.0,9.17
202,Nanortalik,12,GL,1554772625,86,60.14,-45.24,35.44,37.83
203,Liwale,64,TZ,1554773083,96,-9.8,37.92,70.81,3.27
204,Melsungen,75,DE,1554773065,81,51.13,9.54,50.0,3.36
205,Puerto Escondido,20,MX,1554770700,74,15.86,-97.07,80.6,8.25
206,Havre-Saint-Pierre,40,CA,1554768000,62,50.23,-63.6,19.4,3.36
207,Shima,20,JP,1554771600,37,34.34,136.82,55.4,12.75
208,Itoman,75,JP,1554772560,74,26.12,127.67,78.8,10.29
209,Tuatapere,24,NZ,1554773063,78,-46.13,167.69,64.51,9.93
210,Mahebourg,40,MU,1554772438,83,-20.41,57.7,78.8,9.17
211,Awjilah,0,LY,1554772595,71,29.14,21.3,56.14,10.31
212,Farafangana,68,MG,1554772980,100,-22.82,47.83,77.02,5.84
213,Cidreira,24,BR,1554772612,86,-30.17,-50.22,63.79,6.35
214,Pisco,0,PE,1554771600,78,-13.71,-76.2,71.6,19.46
215,Vostok,0,RU,1554772788,79,46.45,135.83,33.64,2.59
216,Eenhana,76,NA,1554771600,31,-17.48,16.34,77.0,4.7
217,Alyangula,75,AU,1554768000,88,-13.85,136.42,80.6,6.93
218,Melivoia,90,GR,1554773084,100,41.33,24.93,55.0,4.7
219,Kavieng,80,PG,1554772617,100,-2.57,150.8,80.08,5.73
220,Cabo San Lucas,5,MX,1554772244,32,22.89,-109.91,84.99,11.41
221,Kamaishi,75,JP,1554768000,65,39.28,141.86,44.6,3.36
222,Fort Nelson,75,CA,1554768180,30,58.81,-122.69,53.6,3.36
223,Batasan,40,PH,1554772984,62,14.89,120.71,89.6,2.24
224,Surgut,0,RU,1554771600,92,61.25,73.4,37.4,11.18
225,Pevek,0,RU,1554772357,100,69.7,170.27,3.49,4.83
226,Beloha,0,MG,1554773111,88,-25.17,45.06,67.93,3.04
227,Jalpan,0,MX,1554772863,30,19.0,-100.36,73.99,4.05
228,Linda,90,US,1554772817,82,39.13,-121.55,71.6,6.93
229,Nushki,32,PK,1554773115,46,29.55,66.02,61.09,4.56
230,Provideniya,40,RU,1554769800,62,64.42,-173.23,19.4,17.9
231,Yerbogachen,20,RU,1554773118,70,61.28,108.01,27.97,7.81
232,Huaiyuan,100,CN,1554773119,100,32.97,117.2,59.65,15.46
233,Cap Malheureux,75,MU,1554773039,78,-19.98,57.61,80.6,10.29
234,Constitucion,5,MX,1554772816,7,23.99,-104.67,73.4,5.82
235,Ostrovnoy,56,RU,1554773123,83,68.05,39.51,20.77,6.62
236,Freetown,75,BS,1554768000,83,26.61,-78.36,77.0,9.17
237,Komsomolskiy,76,RU,1554772591,89,67.55,63.78,19.24,11.27
238,Bathsheba,40,BB,1554768000,73,13.22,-59.52,77.0,14.99
239,Khatanga,76,RU,1554772556,81,71.98,102.47,5.83,12.17
240,Marsh Harbour,32,BS,1554772907,99,26.54,-77.06,76.93,14.67
241,Iqaluit,75,CA,1554772323,78,63.75,-68.52,8.6,21.92
242,Candolim,0,IN,1554773131,100,15.52,73.76,75.31,5.12
243,Falun,24,SE,1554772816,54,60.61,15.63,30.0,12.75
244,Moron,8,VE,1554772986,67,10.49,-68.2,74.14,3.27
245,Coahuayana,0,MX,1554773135,19,18.62,-100.35,84.58,2.82
246,Manicore,0,BR,1554772606,95,-5.81,-61.3,75.49,2.04
247,Mendeleyevo,0,RU,1554771946,57,56.04,37.23,50.0,11.18
248,Ludvika,8,SE,1554773107,54,60.15,15.18,30.0,12.75
249,Bolton,20,GB,1554772868,81,53.58,-2.43,46.99,11.41
250,Rodrigues Alves,0,BR,1554771600,94,-7.74,-72.65,77.0,2.1
251,Ulaanbaatar,40,MN,1554771600,58,47.92,106.92,28.4,2.24
252,Mar del Plata,48,AR,1554772586,84,-46.43,-67.52,59.47,4.0
253,Le Port,92,FR,1554773143,73,42.87,1.37,48.0,125.0
254,Consaca,32,CO,1554773148,82,1.22,-77.47,56.41,0.76
255,Hay River,75,CA,1554771600,37,60.82,-115.79,51.8,3.36
256,Trindade,90,BR,1554771600,94,-16.66,-49.49,69.8,2.24
257,Ossora,0,RU,1554773152,100,59.24,163.07,24.64,4.72
258,General Pico,0,AR,1554773154,34,-35.66,-63.75,71.98,14.29
259,Dwarka,20,IN,1554771600,53,28.58,77.04,75.2,4.7
260,Karasjok,0,NO,1554771000,85,69.47,25.52,21.2,5.82
261,Nyurba,80,RU,1554773158,76,63.29,118.35,29.86,9.08
262,Nuevo Progreso,1,US,1554772819,51,26.05,-97.95,84.2,6.93
263,Tucupita,8,VE,1554773160,54,9.06,-62.05,82.87,12.1
264,Bafq,0,IR,1554773161,90,31.6,55.4,45.16,2.77
265,Ahipara,0,NZ,1554772620,73,-35.17,173.16,68.11,7.36
266,Sfantu Gheorghe,90,RO,1554773119,93,44.65,26.83,51.01,9.17
267,Ankpa,64,NG,1554773165,96,7.37,7.63,74.68,3.38
268,Cerritos,1,US,1554773155,50,33.86,-118.05,82.99,11.41
269,Santiago del Estero,0,AR,1554773168,64,-27.8,-64.26,66.85,9.37
270,Yaan,76,NG,1554773019,94,7.38,8.57,75.31,3.71
271,Nelson Bay,0,AU,1554772581,30,-32.72,152.14,86.0,23.04
272,Clyde River,1,CA,1554771600,84,70.47,-68.59,-2.21,4.7
273,Hithadhoo,92,MV,1554772605,100,-0.6,73.08,83.32,4.79
274,Tezu,12,IN,1554773174,74,27.93,96.16,54.25,1.59
275,Mayo,75,CA,1554768000,29,63.59,-135.9,50.0,3.36
276,Cururupu,36,BR,1554773176,94,-1.82,-44.87,77.38,5.01
277,Elat,88,CM,1554773178,93,2.91,11.16,73.51,2.59
278,Impfondo,20,CD,1554773180,91,1.62,18.06,74.77,2.82
279,San Quintin,8,PH,1554773181,58,17.54,120.52,78.91,3.56
280,Georgetown,0,GY,1554771600,88,6.8,-58.16,80.6,6.93
281,Praya,20,ID,1554769800,88,-8.71,116.27,82.4,2.26
282,Chulym,0,RU,1554772785,68,55.09,80.97,20.5,6.29
283,Longyan,12,CN,1554773187,77,25.1,117.03,69.82,2.59
284,Tonder,0,DK,1554773181,86,54.93,8.87,41.0,2.24
285,Albina,80,GF,1554773189,75,5.5,-54.06,78.28,4.5
286,Panaba,64,MX,1554773191,52,21.28,-88.27,85.21,5.28
287,Abu Samrah,32,SY,1554773192,94,35.3,37.18,53.98,2.55
288,Vanavara,0,RU,1554773193,76,60.35,102.28,26.89,7.14
289,Sabha,0,LY,1554773195,41,27.03,14.43,55.69,2.89
290,Geraldton,90,CA,1554771600,80,49.72,-86.95,30.2,6.93
291,Birjand,20,IR,1554771600,100,32.86,59.22,44.6,6.93
292,Saint-Joseph,20,FR,1554772880,93,43.56,6.97,50.0,4.7
293,Tuban,12,ID,1554773200,95,-6.9,112.07,75.67,4.34
294,Ikongo,0,MG,1554773201,92,-21.88,47.44,56.77,2.33
295,Pingliang,12,CN,1554773202,70,35.54,106.68,42.73,9.26
296,Nefteyugansk,0,RU,1554771600,92,61.09,72.61,37.4,11.18
297,Fortuna,20,ES,1554773118,59,38.18,-1.13,60.8,11.41
298,Mago,56,RU,1554773206,75,53.27,140.15,26.71,5.61
299,Mongo,8,CF,1554773208,80,4.83,22.92,76.3,3.49
300,Juegang,92,CN,1554773113,73,32.31,121.18,77.0,17.87
301,Khorixas,0,NA,1554773211,88,-20.37,14.96,54.61,2.59
302,Ola,0,RU,1554773212,95,59.58,151.3,29.77,3.56
303,Bargur,0,IN,1554773213,87,12.54,78.35,69.46,2.48
304,Baruun-Urt,0,MN,1554773215,51,46.68,113.28,30.22,3.71
305,Isangel,20,VU,1554771600,66,-19.55,169.27,84.2,5.82
306,Kaeo,0,NZ,1554772085,52,-35.1,173.78,72.0,1.99
307,Paamiut,0,GL,1554773219,75,61.99,-49.67,38.68,6.51
308,Diego de Almagro,0,CL,1554773220,87,-26.39,-70.05,63.16,2.59
309,Hailun,8,CN,1554773222,76,47.46,126.97,41.74,4.56
310,Cockburn Town,8,TC,1554773167,96,21.46,-71.14,79.0,16.98
311,Kupang,20,ID,1554769800,70,-10.16,123.6,86.0,3.49
312,La Ronge,75,CA,1554768000,68,55.1,-105.3,28.4,9.17
313,Evensk,0,RU,1554772979,91,61.92,159.24,30.76,0.69
314,Castro,90,CL,1554768000,100,-42.48,-73.76,51.8,14.99
315,Mirnyy,92,RU,1554773230,92,56.57,36.46,47.41,16.2
316,Ixtlahuacan del Rio,5,MX,1554770640,8,20.87,-103.25,80.6,11.41
317,Amurzet,36,CN,1554773232,86,47.69,131.09,40.57,8.63
318,Scarborough,0,GB,1554772924,87,54.28,-0.41,45.0,10.29
319,Ayutla,0,MX,1554773235,15,20.13,-104.35,80.98,3.27
320,San Cristobal,75,EC,1554772570,93,-0.39,-78.55,57.2,8.05
321,Krasnaya Gorka,36,RU,1554773237,90,55.19,56.67,23.29,3.27
322,Sandovo,36,RU,1554773239,86,58.46,36.41,39.58,9.53
323,Puerto Ayacucho,75,CO,1554768000,74,5.66,-67.63,84.2,4.7
324,Jaltenango,56,MX,1554773243,58,15.87,-92.72,80.08,3.0
325,Richards Bay,20,ZA,1554773245,99,-28.77,32.06,66.76,4.61
326,Lang Son,56,VN,1554773238,89,21.83,106.73,75.13,8.63
327,Half Moon Bay,90,US,1554773226,100,37.46,-122.43,70.0,4.7
328,Pacasmayo,8,PE,1554773109,93,-7.4,-79.57,68.56,14.34
329,Wukari,88,NG,1554773250,96,7.87,9.78,74.32,9.75
330,Wagar,32,US,1554773248,86,31.44,-87.99,70.0,1.99
331,Santa Rosa,0,AR,1554773253,32,-36.62,-64.29,74.14,14.18
332,Ketchikan,90,US,1554771360,87,55.34,-131.65,46.4,17.22
333,Boyolangu,68,ID,1554773256,97,-8.09,111.9,74.32,3.78
334,Brownsville,1,US,1554772997,53,25.91,-97.49,77.0,5.82
335,Port Blair,5,IN,1554771600,83,11.67,92.75,82.4,8.81
336,Thunder Bay,90,CA,1554773155,93,48.41,-89.26,39.99,9.17
337,Sault Sainte Marie,90,CA,1554772560,93,46.49,-84.36,39.2,6.93
338,Juxtlahuaca,0,MX,1554773263,34,17.43,-99.15,76.12,3.04
339,Lienz,68,AT,1554773010,94,46.83,12.77,39.99,1.77
340,Paulba,64,PH,1554773265,98,13.18,123.46,77.74,3.78
341,Krasnoye,0,RU,1554772818,87,44.87,39.46,51.01,6.71
342,Krasnomayskiy,0,RU,1554771600,74,55.0,82.52,30.2,2.24
343,Gandara,56,PH,1554773270,93,12.01,124.81,80.62,9.04
344,Redlands,75,US,1554773254,26,34.06,-117.19,86.0,10.29
345,Haines Junction,44,CA,1554773273,50,60.75,-137.51,37.42,5.79
346,Trairi,32,BR,1554773097,100,-3.28,-39.27,81.52,7.4
347,Zomin,92,UZ,1554773275,90,39.96,68.4,56.41,6.29
348,Bermejo,24,AR,1554773277,75,-22.73,-64.34,66.31,2.59
349,Salalah,75,OM,1554771000,78,17.01,54.1,80.6,2.24
350,Macklin,0,CA,1554773279,26,52.34,-109.94,54.88,11.65
351,Vardo,75,US,1554773252,72,39.62,-77.74,66.99,6.93
352,Port Hawkesbury,90,CA,1554773162,58,45.62,-61.36,26.01,4.7
353,Ihosy,8,MG,1554773283,89,-22.4,46.13,55.15,3.27
354,Vuktyl,0,RU,1554773284,89,63.86,57.31,23.47,3.0
355,Atar,0,MR,1554773286,36,20.52,-13.05,61.72,7.07
356,Port Hardy,75,CA,1554768000,66,50.7,-127.42,51.8,17.22
357,Hofn,92,IS,1554773289,100,64.25,-15.21,39.58,10.09
358,Lata,0,IN,1554773290,79,30.78,78.62,41.83,2.59
359,The Valley,20,AI,1554772543,73,18.22,-63.06,77.0,12.75
360,San Martin,90,US,1554773055,60,37.08,-121.61,72.0,9.17
361,Los Llanos de Aridane,44,ES,1554771600,59,28.66,-17.92,62.6,10.29
362,Marabba,0,SD,1554773104,44,12.35,32.18,71.89,2.89
363,Sidney,1,US,1554773225,26,47.72,-104.16,59.0,6.93
364,Nkoteng,48,CM,1554773298,92,4.5,12.12,73.96,6.35
365,Honningsvag,80,NO,1554773299,100,70.98,25.97,25.36,5.12
366,Tshela,24,CD,1554773301,88,-4.99,12.94,75.76,3.38
367,Batagay-Alyta,68,RU,1554773302,74,67.8,130.41,21.49,4.27
368,Pozo Colorado,0,PY,1554773303,78,-23.49,-58.8,65.32,5.61
369,Santa Cruz,90,US,1554773304,82,36.97,-122.03,72.0,9.17
370,San Ramon,20,NI,1554773224,68,12.92,-85.84,73.99,1.99
371,Edson,1,CA,1554771600,20,53.59,-116.44,53.6,4.7
372,Ler,0,NO,1554773117,86,63.2,10.3,33.8,1.12
373,Arlit,0,NE,1554773311,21,18.74,7.39,67.93,3.78
374,Guerrero Negro,0,MX,1554773312,32,27.97,-114.04,81.79,13.44
